Vessel;code;Genus;lat;lon;season;depth;swept_area_km2;N;N_km2;presence_absence;date;date_time;bathy;substrate;slope;roughness;fishingEffort;distCanyons;distMounts;distFans;bottom_temp;bottom_oxygen;bottom_nppv;bottom_ph;bottom_nh4;bottom_no3;bottom_po4;bottom_so;bottom_uo;bottom_vo;bottom_eke;SD_bottomT;SD_o2;SubAll;bioSubsFinal;ln_slope;ln_fishingEffort;Haul_N;RN;id;fold;ln_N_km2;ln_N;BioSubs;SA_offset
ISA;21_10_05_CRT_ISA_L1;Raja;37,5546945;-0,4895482;4;432;0,060958376;0;0;0;05/10/2020;NA;1001,492089;1;8,121639093;256;5,565571461;0;39,92115784;196,2976074;13,57494164;218,6771088;-8,62E-05;8,084980011;0,002593062;5,146145821;0,258642823;38,62186813;0,006274801;-0,046320397;0,001092476;0,05546831;1,116653562;10;1;2,210649513;1,881839551;173;93;173;5;0;0;1;-2,797564008
NG;21_06_22_CST_NG_L2;Raja;39,6634931;0,2649746;2;123,34;0,408366;16;39,18053903;1;22/06/2020;NA;129,1920988;2;0,41861732;5;7,820000044;21,4583416;229,0613251;34,10951614;13,71246624;239,1515808;-0,024959667;8,110793114;0,483138859;2,725987196;0,153234065;38,27879715;0,002303755;-0,018479919;0,000173407;0,294220746;6,770478725;9;2;0,349682679;2,177021875;159;60;159;3;3,693382775;0,693147181;2;-0,895591448
ESP000025837;20201112_63210_ESP000025837_03;Raja;40,7817;1,119541667;4;83,4;0,15926649;8;50,23;1;12/11/2020;NA;94,13961481;1;0,09677699;1;189,7593765;35,46954346;365,8242493;59,29876328;15,03374577;235,6098175;-0,134826392;8,099538803;0,624609709;1,681892514;0,110437296;38,19669724;-0,041358791;0,026392914;0,001203568;0,741323352;5,058944702;6;1;0,09237587;2,251012825;60;67;60;2;3,936325298;2,197224577;1;-1,837176442
ESP000025837;20210218_63210_ESP000025837_03;Raja;40,74746;1,098496667;1;96,9;0,16526352;12;72,611;1;18/02/2020;NA;92,96201975;1;0,128169333;1;190,8986664;35,19939804;361,3761292;56,2517662;13,45933437;249,7954407;-1,295454621;8,133377075;0,376594216;2,391220808;0,090801939;38,07444382;-0,022384919;0,015748534;0,00037455;0,878137231;4,806010723;6;1;0,12059626;2,256967453;87;42;87;1;4,298794471;2,564949357;1;-1,800213988
ESP000025589;20200826_63210_ESP000025589_01;Raja;40,48559583;1,353886111;3;405;0,43943175;0;0;0;26/08/2020;NA;348,9697728;2;3,256101516;138;9,589644544;5,822178364;341,7565308;23,14815712;13,74003696;228,990036;-0,020211978;8,095930099;0,281414062;3,784468651;0,202748328;38,55363846;-0,000281569;-0,011345129;6,44E-05;0,174169838;6,615786552;6;1;1,448353604;2,359876594;39;90;39;4;0;0;1;NA
ESP000025589;20201112_63210_ESP000025589_01;Raja;40,48737083;1,350895833;4;402,6;0,386226;0;0;0;12/11/2020;NA;348,9697728;2;3,256101516;138;9,589644544;5,822178364;341,7565308;23,14815712;13,69308376;225,530777;-0,00044266;8,095371246;0,234585077;4,103704453;0,219655275;38,47726059;0,007762162;-0,004346717;3,96E-05;0,174169838;6,615786552;6;1;1,448353604;2,359876594;57;63;57;1;0;0;1;NA
ESP000022116;20210609_64410_ESP000022116_01;Raja;41,56308333;3,110063333;2;134;0,05966997;9;150,8296384;1;09/06/2020;NA;132,2801284;4;0,70163387;5;9,928750014;9,887208939;354,7957153;28,6262188;13,61111164;238,5969849;-0,019067891;8,116484642;0,51610148;2,334383249;0,133622125;38,22124863;0,00047531;-0,010058486;5,07E-05;0,517748415;8,333708763;3;3;0,53158889;2,391396933;121;74;121;3;5,022759092;0;3;-2,8189264
NG;21_06_22_CST_NG_L1;Raja;39,6559806;0,2645892;2;125,3;0,3866976;15;38,79000025;1;22/06/2020;NA;162,5197481;2;1,411472992;6;11,01928883;21,4583416;229,0613251;34,10951614;13,71246624;239,1515808;-0,024959667;8,110793114;0,483138859;2,725987196;0,153234065;38,27879715;0,002303755;-0,018479919;0,000173407;0,294220746;6,770478725;9;2;0,880237761;2,486512762;158;10;158;2;3,683615631;1,791759469;2;-0,950112287
NG;21_03_05_CST_NG_L3;Raja;39,7553782;0,1406111;1;74,5;0,284568171;12;42,16915742;1;05/03/2020;NA;79,66788148;2;0,185726681;3;16,74644433;35,02547836;241,9251099;56,67984009;13,48927402;251,8603668;0,075716794;8,134810448;0,247863322;0,895472288;0,034398127;38,19730759;0,006754645;0,027509041;0,000401186;0,903429091;5,818612576;9;2;0,17035582;2,876185177;140;46;140;4;3,765126292;2,564949357;2;-1,256782437
NG;20_12_02_CST_NG_L1;Raja;39,8812081;0,2304712;4;54,7;0,188954871;10;52,92268967;1;02/12/2020;NA;65,32705679;2;0,142435496;4;18,18466674;37,34914398;256,309967;58,46726608;17,24149323;236,2810364;-0,099120706;8,083380699;0,331018984;0,815147102;0,036322415;38,19126892;-0,005470403;-0,011134876;7,70E-05;1,002789259;5,923050404;9;2;0,133162383;2,954111353;1;21;1;5;3,987551348;1,945910149;2;-1,66624707
